dataset,localization_method,reduction_method,ac@2,ac@5,avg@5,elapsed_time_sum,bacc,recall,mcc,specificity,f1_score
TT-medium,RCD,FluxInfer-AD,0.05,0.0877777,0.0733888,2445.0615045333334,0.6308107046662476,1.0,0.03329993733640234,0.26162140933249506,0.008816572698313641
TT-medium,RCD,HDBS-R,0.0,0.052381000000000004,0.027142857142857142,836.3601180952381,0.4461562499750397,0.1555555555555555,-0.013524984822581328,0.736756944394524,0.0042315762331243565
TT-medium,RCD,HDBS-SBD,0.0625,0.075,0.06291675,698.8340489166667,0.47578308464160285,0.21111111111111108,-0.00686278477979665,0.7404550581720946,0.0059053510457144
TT-medium,RCD,K-S test,0.1,0.121111,0.0886667,2462.2654761333333,0.6308107046662476,1.0,0.03329993733640234,0.26162140933249506,0.008816572698313641
TT-medium,RCD,MetricSifter,0.0375,0.08666665,0.052333300000000006,1393.7704783833333,0.8211757757410061,0.9944444444444445,0.07643716027156001,0.6479071070375676,0.018372293762302257
TT-medium,RCD,NSigma,0.05,0.06666659999999999,0.036666699999999997,2101.4580073666666,0.6649764117065358,1.0,0.0395934313886398,0.3299528234130716,0.00977856068550869
TT-medium,RCD,None,0.05,0.0777778,0.0477777,3113.426629,0.5,1.0,-10.0,0.0,0.006597933914487331
TT-medium,RS,BIRCH,0.009359920693731056,0.023220954951788293,0.013980221494024893,,0.636048664321611,1.0,0.03500195318609178,0.2720973286432221,0.009336162055543013
TT-medium,RS,FluxInfer-AD,0.00926108363770138,0.022977557110555515,0.013833198801483527,,0.6327525601342366,1.0,0.034405945918725485,0.2655051202684731,0.009237815066729115
TT-medium,RS,HDBS-R,0.005275795425543585,0.013100307001501407,0.007883945536174336,,0.46384949585319324,0.1857142857142857,-0.008718457342143793,0.7419847059921008,0.005205817549547372
TT-medium,RS,HDBS-SBD,0.004984081741682472,0.012380153138553064,0.0074494207754738,,0.4602625081318314,0.17777777777777776,-0.00991130746390643,0.742747238485885,0.0049188921710277495
TT-medium,RS,K-S test,0.00926108363770138,0.022977557110555515,0.013833198801483527,,0.6327525601342366,1.0,0.034405945918725485,0.2655051202684731,0.009237815066729115
TT-medium,RS,MetricSifter,0.018676755288981307,0.04597428347606438,0.02777557620058765,,0.8017264360926559,0.9484126984126985,0.0737579353841198,0.6550401737726136,0.01857729251217983
TT-medium,RS,NSigma,0.010175586262375321,0.025227045369696673,0.015192682437036571,,0.6648414185889949,1.0,0.04032180094389533,0.32968283717799,0.01014744351599542
TT-medium,RS,None,0.006862044987607693,0.01705744714095758,0.010260494353617236,,0.5,1.0,-10.0,0.0,0.006849058886240871
TT-medium,e-Diagnosis,BIRCH,0.0,0.0,0.0,41.3140331,0.6313801930296462,1.0,0.03350011470849311,0.2627603860592923,0.00886765945904076
TT-medium,e-Diagnosis,FluxInfer-AD,0.0,0.0,0.0,38.096523033333334,0.6308107046662476,1.0,0.03329993733640234,0.26162140933249506,0.008816572698313641
