dataset,localization_method,run_id_loc,reduction_method,chaos_comp,chaos_type,ac@2,ac@5,avg@5,elapsed_time_loc,run_id_tsdr,tp,tn,fn,fp,specificity,recall,proportion,f1_score,mcc,bacc,reduction_rate,elapsed_time_tsdr,num_metrics(reduced),num_metrics(filtered),num_metrics(raw),num_found_cause_metrics,rs_ac@2,rs_ac@5,rs_avg@5,elapsed_time_sum
TT-medium,CG+PageRank,TSDRLOC-1931,BIRCH,ts-station-service,pod-cpu-hog,0.0,0.0,0.0,4.147066,TSDR-1823,3.0,354.0,0.0,874.0,0.2861684402483059,1.0,0.0034228673880057,0.0068223682542709,0.0312226343294727,0.643084220124153,0.2854738439192709,0.4262333333333334,877,1231,2806,3.0,0.0068340114751621,0.0169975050159823,0.0102218293272404,4.573299333333333
TT-medium,RS,,BIRCH,ts-station-service,pod-cpu-hog,0.0068340114751621,0.0169975050159823,0.0102218293272404,,TSDR-1823,3.0,354.0,0.0,874.0,0.2861684402483059,1.0,0.0034228673880057,0.0068223682542709,0.0312226343294727,0.643084220124153,0.2854738439192709,0.4262333333333334,877,1231,2806,3.0,0.0068340114751621,0.0169975050159823,0.0102218293272404,
TT-medium,e-Diagnosis,TSDRLOC-1915,BIRCH,ts-station-service,pod-memory-hog,0.0,0.0,0.0,47.406122,TSDR-1823,5.333333333333333,237.33333333333331,0.0,1071.6666666666667,0.1832565701384337,1.0,0.005048884965165,0.010045087553738,0.03041233389041,0.5916282850692168,0.1824852664737416,0.4344666666666667,1077,1314,2917,5.333333333333333,0.0100712851024856,0.0249810169871266,0.0150411479607816,47.84058866666667
TT-medium,RCD,TSDRLOC-1923,BIRCH,ts-station-service,pod-memory-hog,0.0,0.0,0.0,3070.995508,TSDR-1823,5.333333333333333,237.33333333333331,0.0,1071.6666666666667,0.1832565701384337,1.0,0.005048884965165,0.010045087553738,0.03041233389041,0.5916282850692168,0.1824852664737416,0.4344666666666667,1077,1314,2917,5.333333333333333,0.0100712851024856,0.0249810169871266,0.0150411479607816,3071.4299746666666
TT-medium,CG+PageRank,TSDRLOC-1931,BIRCH,ts-station-service,pod-memory-hog,0.0,0.0,0.0,7.373072,TSDR-1823,5.333333333333333,237.33333333333331,0.0,1071.6666666666667,0.1832565701384337,1.0,0.005048884965165,0.010045087553738,0.03041233389041,0.5916282850692168,0.1824852664737416,0.4344666666666667,1077,1314,2917,5.333333333333333,0.0100712851024856,0.0249810169871266,0.0150411479607816,7.807538666666666
TT-medium,RS,,BIRCH,ts-station-service,pod-memory-hog,0.0100712851024856,0.0249810169871266,0.0150411479607816,,TSDR-1823,5.333333333333333,237.33333333333331,0.0,1071.6666666666667,0.1832565701384337,1.0,0.005048884965165,0.010045087553738,0.03041233389041,0.5916282850692168,0.1824852664737416,0.4344666666666667,1077,1314,2917,5.333333333333333,0.0100712851024856,0.0249810169871266,0.0150411479607816,
TT-medium,e-Diagnosis,TSDRLOC-1915,BIRCH,ts-train-service,pod-cpu-hog,0.0,0.0,0.0,36.275435,TSDR-1823,3.0,430.6666666666667,0.0,792.6666666666666,0.3529390936225713,1.0,0.0037935688902463,0.0075582998757535,0.0365868890949688,0.6764695468112857,0.3520711492376649,0.4036,795,1226,2806,3.0,0.007572663518654,0.0188236559902827,0.0113229759347432,36.679035
TT-medium,RCD,TSDRLOC-1923,BIRCH,ts-train-service,pod-cpu-hog,0.0,0.0,0.0,1803.726111,TSDR-1823,3.0,430.6666666666667,0.0,792.6666666666666,0.3529390936225713,1.0,0.0037935688902463,0.0075582998757535,0.0365868890949688,0.6764695468112857,0.3520711492376649,0.4036,795,1226,2806,3.0,0.007572663518654,0.0188236559902827,0.0113229759347432,1804.129711
TT-medium,CG+PageRank,TSDRLOC-1931,BIRCH,ts-train-service,pod-cpu-hog,0.0,0.0,0.0,4.201676,TSDR-1823,3.0,430.6666666666667,0.0,792.6666666666666,0.3529390936225713,1.0,0.0037935688902463,0.0075582998757535,0.0365868890949688,0.6764695468112857,0.3520711492376649,0.4036,795,1226,2806,3.0,0.007572663518654,0.0188236559902827,0.0113229759347432,4.605276
TT-medium,RS,,BIRCH,ts-train-service,pod-cpu-hog,0.007572663518654,0.0188236559902827,0.0113229759347432,,TSDR-1823,3.0,430.6666666666667,0.0,792.6666666666666,0.3529390936225713,1.0,0.0037935688902463,0.0075582998757535,0.0365868890949688,0.6764695468112857,0.3520711492376649,0.4036,795,1226,2806,3.0,0.007572663518654,0.0188236559902827,0.0113229759347432,
TT-medium,e-Diagnosis,TSDRLOC-1915,BIRCH,ts-train-service,pod-memory-hog,0.0,0.0,0.0,45.237227,TSDR-1823,5.333333333333333,284.6666666666667,0.0,964.6666666666666,0.229840507633479,1.0,0.0056446536605866,0.0112218434294002,0.0359637547015578,0.6149202538167395,0.22881783452465,0.4710333333333333,970,1254,2892,5.333333333333333,0.0112553637100727,0.0278859556282436,0.016798823979222,45.70826033333333
TT-medium,RCD,TSDRLOC-1923,BIRCH,ts-train-service,pod-memory-hog,0.0,0.0,0.0,3153.311317,TSDR-1823,5.333333333333333,284.6666666666667,0.0,964.6666666666666,0.229840507633479,1.0,0.0056446536605866,0.0112218434294002,0.0359637547015578,0.6149202538167395,0.22881783452465,0.4710333333333333,970,1254,2892,5.333333333333333,0.0112553637100727,0.0278859556282436,0.016798823979222,3153.7823503333334
TT-medium,CG+PageRank,TSDRLOC-1931,BIRCH,ts-train-service,pod-memory-hog,0.0,0.0,0.0,6.534408,TSDR-1823,5.333333333333333,284.6666666666667,0.0,964.6666666666666,0.229840507633479,1.0,0.0056446536605866,0.0112218434294002,0.0359637547015578,0.6149202538167395,0.22881783452465,0.4710333333333333,970,1254,2892,5.333333333333333,0.0112553637100727,0.0278859556282436,0.016798823979222,7.005441333333334
TT-medium,RS,,BIRCH,ts-train-service,pod-memory-hog,0.0112553637100727,0.0278859556282436,0.016798823979222,,TSDR-1823,5.333333333333333,284.6666666666667,0.0,964.6666666666666,0.229840507633479,1.0,0.0056446536605866,0.0112218434294002,0.0359637547015578,0.6149202538167395,0.22881783452465,0.4710333333333333,970,1254,2892,5.333333333333333,0.0112553637100727,0.0278859556282436,0.016798823979222,
TT-medium,e-Diagnosis,TSDRLOC-1915,BIRCH,ts-user-service,pod-cpu-hog,0.0,0.0,0.0,40.06779,TSDR-1823,3.0,387.3333333333333,0.0,845.6666666666666,0.3153458106008452,1.0,0.0035670916257027,0.0071086050539907,0.0335250103494037,0.6576729053004226,0.3145768588497706,0.4453666666666667,848,1236,2848,3.0,0.0071213477523993,0.0177075679872332,0.01065007238674,40.51315666666667
TT-medium,RCD,TSDRLOC-1923,BIRCH,ts-user-service,pod-cpu-hog,0.5,0.333333,0.3,1339.935964,TSDR-1823,3.0,387.3333333333333,0.0,845.6666666666666,0.3153458106008452,1.0,0.0035670916257027,0.0071086050539907,0.0335250103494037,0.6576729053004226,0.3145768588497706,0.4453666666666667,848,1236,2848,3.0,0.0071213477523993,0.0177075679872332,0.01065007238674,1340.3813306666666
